#read_position,average
0,31.144283121597095
1,32.29219600725953
2,33.02177858439202
3,36.46460980036298
4,36.41379310344828
5,36.48003629764065
6,36.4038112522686
7,36.48094373865699
8,38.27132486388385
9,38.293103448275865
10,38.33756805807622
11,38.276769509981854
12,38.3557168784029
13,40.0
14,39.88838475499092
15,39.93012704174229
16,39.92740471869328
17,39.9065335753176
18,39.92649727767695
19,39.78130671506352
20,39.85753176043557
21,39.745916515426494
22,39.76315789473684
23,39.740471869328495
24,39.76043557168784
25,39.67604355716878
26,39.53085299455535
27,39.509981851179674
28,39.490925589836664
29,39.28130671506352
30,39.31941923774955
31,38.92740471869328
32,38.98457350272232
33,39.06896551724138
34,38.37658802177859
35,38.343920145190566
36,37.4491833030853
37,37.42196007259528
38,36.851179673321234
39,36.95825771324864
40,37.27313974591652
41,36.85843920145191
42,37.34029038112523
43,37.58348457350272
44,37.975499092558984
45,37.85843920145191
46,37.84301270417423
47,37.494555353901994
48,37.57803992740472
49,37.364791288566245
50,37.56715063520871
51,37.28402903811252
52,37.04900181488203
53,36.93103448275862
54,36.116152450090745
55,35.44595821980018
56,35.356948228882835
57,35.5386012715713
58,35.55131698455949
59,35.46049046321526
60,35.52861035422343
61,35.60127157129882
62,35.48228882833787
63,35.44595821980018
64,35.24432334241599
65,34.891916439600365
66,34.87829246139873
67,34.48228882833787
68,34.52951861943688
69,34.28065395095368
70,34.270663033605814
71,33.892824704813805
72,33.81925522252498
73,33.61126248864669
74,33.43233424159855
75,31.096276112624885
76,32.3433242506812
77,32.86557674841053
78,32.88374205267938
79,33.01089918256131
80,32.96094459582198
81,32.76839237057221
82,32.67484105358765
83,32.643051771117165
84,32.49227974568574
85,32.50045413260672
86,32.20254314259764
87,32.09264305177112
88,32.03088101725704
89,32.03088101725704
90,31.922797456857403
91,31.940962761126247
92,31.827429609445957
93,31.71843778383288
94,31.637602179836513
95,31.521344232515894
96,31.322434150772025
97,31.23796548592189
98,30.839237057220707
99,30.75022706630336
100,28.868301544050862
101,-23.0
